Race,First/Last,M/F,Name
Dwarf,First,M,Agaro
Dwarf,First,M,Arnan
Dwarf,First,M,Auxlan
Dwarf,First,M,Avamir
Dwarf,First,M,Baelnar
Dwarf,First,M,Balfam
Dwarf,First,M,Bariken
Dwarf,First,M,Borkûl
Dwarf,First,M,Darkûl
Dwarf,First,M,Dolmen
Dwarf,First,M,Dyrnar
Dwarf,First,M,Erag
Dwarf,First,M,Ezegan
Dwarf,First,M,Ferrek
Dwarf,First,M,Garmûl
Dwarf,First,M,Glint
Dwarf,First,M,Ghorvas
Dwarf,First,M,Grimmalk
Dwarf,First,M,Haeltar
Dwarf,First,M,Halagmar
Dwarf,First,M,Halzar
Dwarf,First,M,Hlant
Dwarf,First,M,Korlag
Dwarf,First,M,Krag
Dwarf,First,M,Krim
Dwarf,First,M,Kurman
Dwarf,First,M,Lurtrum
Dwarf,First,M,Malagar
Dwarf,First,M,Mardam
Dwarf,First,M,Maulnar
Dwarf,First,M,Melgar
Dwarf,First,M,Morak
Dwarf,First,M,Orobok
Dwarf,First,M,Rogath
Dwarf,First,M,Roken
Dwarf,First,M,Rozag
Dwarf,First,M,Sabakzar
Dwarf,First,M,Sharak
Dwarf,First,M,Smethykk
Dwarf,First,M,Swargar
Dwarf,First,M,Thorbalt
Dwarf,First,M,Thorin
Dwarf,First,M,Tredigar
Dwarf,First,M,Vabûl
Dwarf,First,M,Vistrum
Dwarf,First,M,Wolvar
Dwarf,First,F,Beyla
Dwarf,First,F,Fenryl
Dwarf,First,F,Grenenzel
Dwarf,First,F,Krystolari
Dwarf,First,F,Lokara
Dwarf,First,F,Lurka
Dwarf,First,F,Marnia
Dwarf,First,F,Praxana
Dwarf,First,F,Rokel
Dwarf,First,F,Roksana
Dwarf,First,F,Thurlfara
Dwarf,First,F,Vauldra
Dwarf,First,F,Veklani
Dwarf,First,F,Vronwe
Dwarf,First,F,Zebel
Dwarf,Last,n/a,Ambershard
Dwarf,Last,n/a,Barrelhelm
Dwarf,Last,n/a,Copperhearth
Dwarf,Last,n/a,Deepmiddens
Dwarf,Last,n/a,Drakantal
Dwarf,Last,n/a,Evermead
Dwarf,Last,n/a,Garkalan
Dwarf,Last,n/a,Grimtor
Dwarf,Last,n/a,Hackshield
Dwarf,Last,n/a,Irongull
Dwarf,Last,n/a,Markolak
Dwarf,Last,n/a,Ramcrown
Dwarf,Last,n/a,Rockharvest
Dwarf,Last,n/a,Silvertarn
Dwarf,Last,n/a,Skandalor
Dwarf,Last,n/a,Zarkanan
Dwarf,First,M,Adrik
Dwarf,First,M,Alberich
Dwarf,First,M,Baern
Dwarf,First,M,Barendd
Dwarf,First,M,Brottor
Dwarf,First,M,Bruenor
Dwarf,First,M,Dain
Dwarf,First,M,Darrak
Dwarf,First,M,Delg
Dwarf,First,M,Eberk
Dwarf,First,M,Einkil
Dwarf,First,M,Fargrim
Dwarf,First,M,Flint
Dwarf,First,M,Gardain
Dwarf,First,M,Harbek
Dwarf,First,M,Kildrak
Dwarf,First,M,Morgran
Dwarf,First,M,Orsik
Dwarf,First,M,Oskar
Dwarf,First,M,Rangrim
Dwarf,First,M,Rurik
Dwarf,First,M,Taklinn
Dwarf,First,M,Thoradin
Dwarf,First,M,Thorin
Dwarf,First,M,Tordek
Dwarf,First,M,Traubon
Dwarf,First,M,Travok
Dwarf,First,M,Ulfgar
Dwarf,First,M,Veit
Dwarf,First,M,Vondal
Dwarf,First,F,Amber
Dwarf,First,F,Artin
Dwarf,First,F,Audhild
Dwarf,First,F,Bardryn
Dwarf,First,F,Dagnal
Dwarf,First,F,Diesa
Dwarf,First,F,Eldeth
Dwarf,First,F,Falkrunn
Dwarf,First,F,Finellen
Dwarf,First,F,Gunnloda
Dwarf,First,F,Gurdis
Dwarf,First,F,Helja
Dwarf,First,F,Hlin
Dwarf,First,F,Kathra
Dwarf,First,F,Kristryd
Dwarf,First,F,Ilde
Dwarf,First,F,Liftrasa
Dwarf,First,F,Mardred
Dwarf,First,F,Riswynn
Dwarf,First,F,Sannl
Dwarf,First,F,Torbera
Dwarf,First,F,Torgga
Dwarf,First,F,Vistra
Dwarf,Last,n/a,Balderk
Dwarf,Last,n/a,Battlehammer
Dwarf,Last,n/a,Brawnanvil
Dwarf,Last,n/a,Dankil
Dwarf,Last,n/a,Fireforge
Dwarf,Last,n/a,Frostbeard
Dwarf,Last,n/a,Gorunn
Dwarf,Last,n/a,Holderhek
Dwarf,Last,n/a,Ironfist
Dwarf,Last,n/a,Loderr
Dwarf,Last,n/a,Lutgehr
Dwarf,Last,n/a,Rumnaheim
Dwarf,Last,n/a,Strakeln
Dwarf,Last,n/a,Torunn
Dwarf,Last,n/a,Ungart
Elf,First,M,Alarcion
Elf,First,M,Alathar
Elf,First,M,Ariandar
Elf,First,M,Arromar
Elf,First,M,Borel
Elf,First,M,Bvachan
Elf,First,M,Carydion
Elf,First,M,Elgoth
Elf,First,M,Farlien
Elf,First,M,Ferel
Elf,First,M,Gaerlan
Elf,First,M,Iafalior
Elf,First,M,Kaelthorn
Elf,First,M,Laethan
Elf,First,M,Leliar
Elf,First,M,Leodor
Elf,First,M,Lorak
Elf,First,M,Lorifir
Elf,First,M,Morian
Elf,First,M,Oleran
Elf,First,M,Rylef
Elf,First,M,Savian
Elf,First,M,Seylas
Elf,First,M,Tevior
Elf,First,M,Veyas
Elf,First,F,Aryllan
Elf,First,F,Atalya
Elf,First,F,Ayrthwil
Elf,First,F,Irva
Elf,First,F,Lyfalia
Elf,First,F,Ronefel
Elf,First,F,Thirya
Elf,First,F,Velene
Elf,First,F,Venefiq
Elf,First,F,Zereni
Elf,Last,n/a,Autumnloft
Elf,Last,n/a,Balefrost
Elf,Last,n/a,Briarfell
Elf,Last,n/a,Evenwind
Elf,Last,n/a,Graytrails
Elf,Last,n/a,Mooncairn
Elf,Last,n/a,Riverwall
Elf,Last,n/a,Stormwolf
Elf,Last,n/a,Summergale
Elf,Last,n/a,Sunshadow
Elf,Last,n/a,Woodenhawk
Elf,First,M,Ara
Elf,First,M,Bryn
Elf,First,M,Del
Elf,First,M,Eryn
Elf,First,M,Faen
Elf,First,M,Innil
Elf,First,M,Lael
Elf,First,M,Mella
Elf,First,M,Naill
Elf,First,M,Naeris
Elf,First,M,Phann
Elf,First,M,Rael
Elf,First,M,Rinn
Elf,First,M,Sai
Elf,First,M,Syllin
Elf,First,M,Thia
Elf,First,M,Vall
Elf,First,F,Ara
Elf,First,F,Bryn
Elf,First,F,Del
Elf,First,F,Eryn
Elf,First,F,Faen
Elf,First,F,Innil
Elf,First,F,Lael
Elf,First,F,Mella
Elf,First,F,Naill
Elf,First,F,Naeris
Elf,First,F,Phann
Elf,First,F,Rael
Elf,First,F,Rinn
Elf,First,F,Sai
Elf,First,F,Syllin
Elf,First,F,Thia
Elf,First,F,Vall
Elf,First,M,Adran
Elf,First,M,Aelar
Elf,First,M,Aramil
Elf,First,M,Arannis
Elf,First,M,Aust
Elf,First,M,Beiro
Elf,First,M,Berrian
Elf,First,M,Carric
Elf,First,M,Enialis
Elf,First,M,Erdan
Elf,First,M,Erevan
Elf,First,M,Galinndan
Elf,First,M,Hadarai
Elf,First,M,Heian
Elf,First,M,Himo
Elf,First,M,Immeral
Elf,First,M,Ivellios
Elf,First,M,Laucian
Elf,First,M,Mindartis
Elf,First,M,Paelias
Elf,First,M,Peren
Elf,First,M,Quarion
Elf,First,M,Riardon
Elf,First,M,Rolen
Elf,First,M,Soveliss
Elf,First,M,Thamior
Elf,First,M,Tharivol
Elf,First,M,Theren
Elf,First,M,Varis
Elf,First,F,Adrie
Elf,First,F,Althaea
Elf,First,F,Anastrianna
Elf,First,F,Andraste
Elf,First,F,Antinua
Elf,First,F,Bethrynna
Elf,First,F,Birel
Elf,First,F,Caelynn
Elf,First,F,Drusilia
Elf,First,F,Enna
Elf,First,F,Felosial
Elf,First,F,Ielenia
Elf,First,F,Jelenneth
Elf,First,F,Keyleth
Elf,First,F,Leshanna
Elf,First,F,Lia
Elf,First,F,Meriele
Elf,First,F,Mialee
Elf,First,F,Naivara
Elf,First,F,Quelenna
Elf,First,F,Quillathe
Elf,First,F,Sariel
Elf,First,F,Shanairra
Elf,First,F,Shava
Elf,First,F,Silaqui
Elf,First,F,Theirastra
Elf,First,F,Thia
Elf,First,F,Vadania
Elf,First,F,Valanthe
Elf,First,F,Xanaphia
Elf,Last,n/a,Amakiir
Elf,Last,n/a,Gemflower
Elf,Last,n/a,Amastacia
Elf,Last,n/a,Starflower
Elf,Last,n/a,Galanodel
Elf,Last,n/a,Moonwhisper
Elf,Last,n/a,Holimion
Elf,Last,n/a,Diamonddew
Elf,Last,n/a,Ilphelkiir
Elf,Last,n/a,Gemblossom
Elf,Last,n/a,Liadon
Elf,Last,n/a,Silverfrond
Elf,Last,n/a,Meliamne
Elf,Last,n/a,Oakenheel
Elf,Last,n/a,Nailo
Elf,Last,n/a,Nightbreeze
Elf,Last,n/a,Siannodel
Elf,Last,n/a,Moonbrook
Elf,Last,n/a,Xiloscient
Elf,Last,n/a,Goldpetal
Gnome,First,M,Alston
Gnome,First,M,Alvyn
Gnome,First,M,Boddynock
Gnome,First,M,Brocc
Gnome,First,M,Burgell
Gnome,First,M,Dimble
Gnome,First,M,Eldon
Gnome,First,M,Erky
Gnome,First,M,Fonkin
Gnome,First,M,Frug
Gnome,First,M,Gerbo
Gnome,First,M,Gimble
Gnome,First,M,Glim
Gnome,First,M,Jebeddo
Gnome,First,M,Kellen
Gnome,First,M,Namfoodle
Gnome,First,M,Orryn
Gnome,First,M,Roondar
Gnome,First,M,Seebo
Gnome,First,M,Sindri
Gnome,First,M,Warryn
Gnome,First,M,Wrenn
Gnome,First,M,Zook
Gnome,First,M,Aleslosh
Gnome,First,M,Badger
Gnome,First,M,Cloak
Gnome,First,M,Doublelock
Gnome,First,M,Filchbatter
Gnome,First,M,Fnipper
Gnome,First,M,Oneshoe
Gnome,First,M,Pock
Gnome,First,M,Stumbleduck
Gnome,First,F,Bimpnottin
Gnome,First,F,Breena
Gnome,First,F,Caramip
Gnome,First,F,Carlin
Gnome,First,F,Donella
Gnome,First,F,Duvamil
Gnome,First,F,Ella
Gnome,First,F,Ellyjobell
Gnome,First,F,Ellywick
Gnome,First,F,Lilli
Gnome,First,F,Loopmottin
Gnome,First,F,Lorilla
Gnome,First,F,Mardnab
Gnome,First,F,Nissa
Gnome,First,F,Nyx
Gnome,First,F,Oda
Gnome,First,F,Orla
Gnome,First,F,Roywyn
Gnome,First,F,Shamil
Gnome,First,F,Tana
Gnome,First,F,Waywocket
Gnome,First,F,Zanna
Gnome,First,F,Ashhearth
Gnome,First,F,Ku
Gnome,First,F,Nim
Gnome,First,F,Sparklegem
Gnome,Last,n/a,Beren
Gnome,Last,n/a,Daergel
Gnome,Last,n/a,Folkor
Gnome,Last,n/a,Garrick
Gnome,Last,n/a,Nackle
Gnome,Last,n/a,Murnig
Gnome,Last,n/a,Ningel
Gnome,Last,n/a,Raulnor
Gnome,Last,n/a,Scheppen
Gnome,Last,n/a,Timbers
Gnome,Last,n/a,Turen
Halfling,First,M,Arthan
Halfling,First,M,Carvin
Halfling,First,M,Corby
Halfling,First,M,Cullen
Halfling,First,M,Egen
Halfling,First,M,Ernest
Halfling,First,M,Gedi
Halfling,First,M,Heron
Halfling,First,M,Jeryl
Halfling,First,M,Keffen
Halfling,First,M,Kylem
Halfling,First,M,Kynt
Halfling,First,M,Leskyn
Halfling,First,M,Neff
Halfling,First,M,Orne
Halfling,First,M,Quarrel
Halfling,First,M,Rabbit
Halfling,First,M,Rilkin
Halfling,First,M,Snakebait
Halfling,First,M,Tarfen
Halfling,First,M,Titch
Halfling,First,M,Tuck
Halfling,First,M,Whim
Halfling,First,F,Caliope
Halfling,First,F,Emily
Halfling,First,F,Piper
Halfling,First,F,Rixi
Halfling,First,F,Sabretha
Halfling,First,F,Teg
Halfling,First,F,Tilly
Halfling,First,F,Toira
Halfling,First,F,Vexia
Halfling,First,F,Vil
Halfling,First,F,Vzani
Halfling,First,F,Zanthe
Halfling,First,F,Ziza
Halfling,Last,n/a,Angler
Halfling,Last,n/a,Battlestone
Halfling,Last,n/a,Blackwater
Halfling,Last,n/a,Daggersharp
Halfling,Last,n/a,Deepstrider
Halfling,Last,n/a,Hollowpot
Halfling,Last,n/a,Puddle
Halfling,Last,n/a,Raftmite
Halfling,Last,n/a,Skiprock
Halfling,Last,n/a,Silverfin
Halfling,Last,n/a,Tanglestrand
Halfling,Last,n/a,Tricker
Halfling,Last,n/a,Willowrush
Halfling,Last,n/a,Yellowcrane
Halfling,First,M,Alton
Halfling,First,M,Ander
Halfling,First,M,Cade
Halfling,First,M,Corrin
Halfling,First,M,Eldon
Halfling,First,M,Errich
Halfling,First,M,Finnan
Halfling,First,M,Garret
Halfling,First,M,Lindal
Halfling,First,M,Lyle
Halfling,First,M,Merric
Halfling,First,M,Milo
Halfling,First,M,Osborn
Halfling,First,M,Perrin
Halfling,First,M,Reed
Halfling,First,M,Roscoe
Halfling,First,M,Wellby
Halfling,First,F,Andry
Halfling,First,F,Bree
Halfling,First,F,Callie
Halfling,First,F,Cora
Halfling,First,F,Euphemia
Halfling,First,F,Jillian
Halfling,First,F,Kithri
Halfling,First,F,Lavinia
Halfling,First,F,Lidda
Halfling,First,F,Merla
Halfling,First,F,Nedda
Halfling,First,F,Paela
Halfling,First,F,Portia
Halfling,First,F,Seraphina
Halfling,First,F,Shaena
Halfling,First,F,Trym
Halfling,First,F,Vani
Halfling,First,F,Verna
Halfling,Last,n/a,Brushgather
Halfling,Last,n/a,Goodbarrel
Halfling,Last,n/a,Greenbottle
Halfling,Last,n/a,High-hill
Halfling,Last,n/a,Hilltopple
Halfling,Last,n/a,Leagallow
Halfling,Last,n/a,Tealeaf
Halfling,Last,n/a,Thorngage
Halfling,Last,n/a,Tosscobble
Halfling,Last,n/a,Underbough
Human,First,M,Anlow
Human,First,M,Arando
Human,First,M,Bram
Human,First,M,Cale
Human,First,M,Dalkon
Human,First,M,Daylen
Human,First,M,Dodd
Human,First,M,Dungarth
Human,First,M,Dyrk
Human,First,M,Eandro
Human,First,M,Falken
Human,First,M,Feck
Human,First,M,Fenton
Human,First,M,Gryphero
Human,First,M,Hagar
Human,First,M,Jeras
Human,First,M,Krynt
Human,First,M,Lavant
Human,First,M,Leyten
Human,First,M,Madian
Human,First,M,Malfier
Human,First,M,Markus
Human,First,M,Meklan
Human,First,M,Namen
Human,First,M,Navaren
Human,First,M,Nerle
Human,First,M,Nilus
Human,First,M,Ningyan
Human,First,M,Norris
Human,First,M,Quentin
Human,First,M,Semil
Human,First,M,Sevenson
Human,First,M,Steveren
Human,First,M,Talfen
Human,First,M,Tamond
Human,First,M,Taran
Human,First,M,Tavon
Human,First,M,Tegan
Human,First,M,Vanan
Human,First,M,Vincent
Human,First,F,Azura
Human,First,F,Brey
Human,First,F,Hallan
Human,First,F,Kasaki
Human,First,F,Lorelei
Human,First,F,Mirabel
Human,First,F,Pharana
Human,First,F,Remora
Human,First,F,Rosalyn
Human,First,F,Sachil
Human,First,F,Saidi
Human,First,F,Tanika
Human,First,F,Tura
Human,First,F,Tylsa
Human,First,F,Vencia
Human,First,F,Xandrilla
Human,Last,n/a,Arkalis
Human,Last,n/a,Armanci
Human,Last,n/a,Bilger
Human,Last,n/a,Blackstrand
Human,Last,n/a,Brightwater
Human,Last,n/a,Carnavon
Human,Last,n/a,Caskajaro
Human,Last,n/a,Coldshore
Human,Last,n/a,Coyle
Human,Last,n/a,Cresthill
Human,Last,n/a,Cuttlescar
Human,Last,n/a,Daargen
Human,Last,n/a,Dalicarlia
Human,Last,n/a,Danamark
Human,Last,n/a,Donoghan
Human,Last,n/a,Drumwind
Human,Last,n/a,Dunhall
Human,Last,n/a,Ereghast
Human,Last,n/a,Falck
Human,Last,n/a,Fallenbridge
Human,Last,n/a,Faringray
Human,Last,n/a,Fletcher
Human,Last,n/a,Fryft
Human,Last,n/a,Goldrudder
Human,Last,n/a,Grantham
Human,Last,n/a,Graylock
Human,Last,n/a,Gullscream
Human,Last,n/a,Hindergrass
Human,Last,n/a,Iscalon
Human,Last,n/a,Kreel
Human,Last,n/a,Kroft
Human,Last,n/a,Lamoth
Human,Last,n/a,Leerstrom
Human,Last,n/a,Lynchfield
Human,Last,n/a,Moonridge
Human,Last,n/a,Netheridge
Human,Last,n/a,Oakenheart
Human,Last,n/a,Pyncion
Human,Last,n/a,Ratley
Human,Last,n/a,Redraven
Human,Last,n/a,Revenmar
Human,Last,n/a,Roxley
Human,Last,n/a,Sell
Human,Last,n/a,Seratolva
Human,Last,n/a,Shanks
Human,Last,n/a,Shattermast
Human,Last,n/a,Shaulfer
Human,Last,n/a,Silvergraft
Human,Last,n/a,Stavenger
Human,Last,n/a,Stormchapel
Human,Last,n/a,Strong
Human,Last,n/a,Swiller
Human,Last,n/a,Talandro
Human,Last,n/a,Targana
Human,Last,n/a,Towerfall
Human,Last,n/a,Umbermoor
Human,Last,n/a,Van Devries
Human,Last,n/a,Van Gandt
Human,Last,n/a,Van Hyden
Human,Last,n/a,Varcona
Human,Last,n/a,Varzand
Human,Last,n/a,Voortham
Human,Last,n/a,Vrye
Human,Last,n/a,Webb
Human,Last,n/a,Welfer
Human,Last,n/a,Wilxes
Human,Last,n/a,Wintermere
Human,Last,n/a,Wygarthe
Human,Last,n/a,Zatchet
Human,Last,n/a,Zethergyll
Human,First,M,Aseir
Human,First,M,Bardeid
Human,First,M,Haseid
Human,First,M,Khemed
Human,First,M,Mehmen
Human,First,M,Sudeiman
Human,First,M,Zasheir
Human,First,M,Darvin
Human,First,M,Dorn
Human,First,M,Evendur
Human,First,M,Gorstag
Human,First,M,Grim
Human,First,M,Helm
Human,First,M,Malark
Human,First,M,Morn
Human,First,M,Randal
Human,First,M,Stedd
Human,First,M,Bor
Human,First,M,Fodel
Human,First,M,Glar
Human,First,M,Grigor
Human,First,M,Igan
Human,First,M,Ivor
Human,First,M,Kosef
Human,First,M,Mival
Human,First,M,Orel
Human,First,M,Pavel
Human,First,M,Sergor
Human,First,M,Ander
Human,First,M,Blath
Human,First,M,Bran
Human,First,M,Frath
Human,First,M,Geth
Human,First,M,Lander
Human,First,M,Luth
Human,First,M,Malcer
Human,First,M,Stor
Human,First,M,Taman
Human,First,M,Urth
Human,First,M,Aoth
Human,First,M,Bareris
Human,First,M,Ehput-Ki
Human,First,M,Kethoth
Human,First,M,Mumed
Human,First,M,Ramas
Human,First,M,So-Kehur
Human,First,M,Thazar-De
Human,First,M,Urhur
Human,First,M,Borivik
Human,First,M,Faurgar
Human,First,M,Jandar
Human,First,M,Kanithar
Human,First,M,Madislak
Human,First,M,Ralmevik
Human,First,M,Shaumar
Human,First,M,Vladislak
Human,First,M,Anton
Human,First,M,Diero
Human,First,M,Marcon
Human,First,M,Pieron
Human,First,M,Rimardo
Human,First,M,Romero
Human,First,M,Salazar
Human,First,M,Umbero
Human,First,F,Atala
Human,First,F,Ceidil
Human,First,F,Hama
Human,First,F,Jasmal
Human,First,F,Meilil
Human,First,F,Seipora
Human,First,F,Yasheira
Human,First,F,Zasheida
Human,First,F,Arveene
Human,First,F,Esvele
Human,First,F,Jhessail
Human,First,F,Kerri
Human,First,F,Lureene
Human,First,F,Miri
Human,First,F,Rowan
Human,First,F,Shandri
Human,First,F,Tessele
Human,First,F,Alethra
Human,First,F,Kara
Human,First,F,Katernin
Human,First,F,Mara
Human,First,F,Natali
Human,First,F,Olma
Human,First,F,Tana
Human,First,F,Zora
Human,First,F,Amafrey
Human,First,F,Betha
Human,First,F,Cefrey
Human,First,F,Kethra
Human,First,F,Mara
Human,First,F,Olga
Human,First,F,Silifrey
Human,First,F,Westra
Human,First,F,Arizima
Human,First,F,Chathi
Human,First,F,Nephis
Human,First,F,Nulara
Human,First,F,Murithi
Human,First,F,Sefris
Human,First,F,Thola
Human,First,F,Umara
Human,First,F,Zolis
Human,First,F,Fyevarra
Human,First,F,Hulmarra
Human,First,F,Immith
Human,First,F,Imzel
Human,First,F,Navarra
Human,First,F,Shevarra
Human,First,F,Tammith
Human,First,F,Yuldra
Human,First,F,Balama
Human,First,F,Dona
Human,First,F,Faila
Human,First,F,Jalana
Human,First,F,Luisa
Human,First,F,Marta
Human,First,F,Quara
Human,First,F,Selise
Human,First,F,Vonda
Human,Last,n/a,Basha
Human,Last,n/a,Dumein
Human,Last,n/a,Jassan
Human,Last,n/a,Khalid
Human,Last,n/a,Mostana
Human,Last,n/a,Pashar
Human,Last,n/a,Rein
Human,Last,n/a,Amblecrown
Human,Last,n/a,Buckman
Human,Last,n/a,Dundragon
Human,Last,n/a,Evenwood
Human,Last,n/a,Greycastle
Human,Last,n/a,Tallstag
Human,Last,n/a,Bersk
Human,Last,n/a,Chernin
Human,Last,n/a,Dotsk
Human,Last,n/a,Kulenov
Human,Last,n/a,Marsk
Human,Last,n/a,Nemetsk
Human,Last,n/a,Shemov
Human,Last,n/a,Starag
Human,Last,n/a,Brightwood
Human,Last,n/a,Helder
Human,Last,n/a,Hornraven
Human,Last,n/a,Lackman
Human,Last,n/a,Stormwind
Human,Last,n/a,Windrivver
Human,Last,n/a,Ankhalab
Human,Last,n/a,Anskuld
Human,Last,n/a,Fezim
Human,Last,n/a,Hahpet
Human,Last,n/a,Nathandem
Human,Last,n/a,Sepret
Human,Last,n/a,Uuthrakt
Human,Last,n/a,Chergoba
Human,Last,n/a,Dyernina
Human,Last,n/a,Iltazyara
Human,Last,n/a,Murnyethara
Human,Last,n/a,Stayanoga
Human,Last,n/a,Ulmokina
Human,Last,n/a,Agosto
Human,Last,n/a,Astorio
Human,Last,n/a,Calabra
Human,Last,n/a,Domine
Human,Last,n/a,Falone
Human,Last,n/a,Marivaldi
Human,Last,n/a,Pisacar
Human,Last,n/a,Ramondo
Orc,First,M,Dench
Orc,First,M,Feng
Orc,First,M,Gell
Orc,First,M,Henk
Orc,First,M,Holg
Orc,First,M,Imsh
Orc,First,M,Keth
Orc,First,M,Krusk
Orc,First,M,Mhurren
Orc,First,M,Ront
Orc,First,M,Shump
Orc,First,M,Thokk
Orc,First,F,Baggi
Orc,First,F,Emen
Orc,First,F,Engong
Orc,First,F,Kansif
Orc,First,F,Myev
Orc,First,F,Neega
Orc,First,F,Ovak
Orc,First,F,Ownka
Orc,First,F,Shautha
Orc,First,F,Sutha
Orc,First,F,Vola
Orc,First,F,Volen
Orc,First,F,Yevelda
Tiefling,First,M,Ankhus
Tiefling,First,M,Arkadi
Tiefling,First,M,Armarius
Tiefling,First,M,Armillius
Tiefling,First,M,Archidius
Tiefling,First,M,Balmoloch
Tiefling,First,M,Calderax
Tiefling,First,M,Cavian
Tiefling,First,M,Cenereth
Tiefling,First,M,Chorum
Tiefling,First,M,Corynax
Tiefling,First,M,Dacian
Tiefling,First,M,Daelius
Tiefling,First,M,Damaceus
Tiefling,First,M,Decimeth
Tiefling,First,M,Demedor
Tiefling,First,M,Demerian
Tiefling,First,M,Dynachus
Tiefling,First,M,Grassus
Tiefling,First,M,Halius
Tiefling,First,M,Heleph
Tiefling,First,M,Incirion
Tiefling,First,M,Kalaradian
Tiefling,First,M,Kamien
Tiefling,First,M,Kazimir
Tiefling,First,M,Kzandro
Tiefling,First,M,Machem
Tiefling,First,M,Maetheus
Tiefling,First,M,Malfias
Tiefling,First,M,Marchion
Tiefling,First,M,Menerus
Tiefling,First,M,Namazeus
Tiefling,First,M,Nensis
Tiefling,First,M,Prismeus
Tiefling,First,M,Pyranikus
Tiefling,First,M,Razortail
Tiefling,First,M,Sejanus
Tiefling,First,M,Severian
Tiefling,First,M,Suffer
Tiefling,First,M,Syken
Tiefling,First,M,Tarkus
Tiefling,First,M,Vaius
Tiefling,First,M,Xerek
Tiefling,First,M,Zeth
Tiefling,First,M,Zevon
Tiefling,First,F,Affyria
Tiefling,First,F,Cataclysmia
Tiefling,First,F,Domitia
Tiefling,First,F,Dorethau
Tiefling,First,F,Excellence
Tiefling,First,F,Hacari
Tiefling,First,F,Iritra
Tiefling,First,F,Lachira
Tiefling,First,F,Levatra
Tiefling,First,F,Mecretia
Tiefling,First,F,Milvia
Tiefling,First,F,Nericia
Tiefling,First,F,Precious
