Level,Class,Name,School,Casting Time,Range,Duration,Components
Cantrip,Bard,Light,Evocation,1 Action,Touch,1 hour,"V, M"
Cantrip,Bard,Mage Hand,Conjuration,1 Action,30 Feet,1 minute,"V, S"
Cantrip,Bard,Mending,Transmutation,1 Minute,Touch,Instantaneous,"V, S, M"
Cantrip,Bard,Message,Transmutation,1 Action,120 feet,1 round,"V, S, M"
Cantrip,Bard,Minor Illusion,Illusion,1 Action,30 feet,1 minute,"S, M"
Cantrip,Bard,Prestidigitation,Transmutation,1 Action,10 feet,Up to 1 hour,"V, S"
Cantrip,Bard,Thunderclap,Evocation,1 Action,Self (5-foot radius),Instantaneous,S
Cantrip,Bard,True Strike,Divination,1 Action,30 feet,Concentration up to 1 round,S
Cantrip,Bard,Vicious Mockery,Enchantment,1 Action,60 feet,Instantaneous,V
Cantrip,Cleric,Guidance,Divination,1 Action,Touch,Concentration up to 1 minute,"V, S"
Cantrip,Cleric,Hand of Radiance (UA),Evocation,1 Action,5 feet,Instantaneous,"V, S"
Cantrip,Cleric,Light,Evocation,1 Action,Touch,1 hour,"V, M"
Cantrip,Cleric,Mending,Transmutation,1 Minute,Touch,Instantaneous,"V, S, M"
Cantrip,Cleric,Resistance,Abjuration,1 Action,Touch,Concentration up to 1 minute,"V, S, M"
Cantrip,Cleric,Sacred Flame,Evocation,1 Action,60 feet,Instantaneous,"V, S"
Cantrip,Cleric,Spare the Dying,Necromancy,1 Action,Touch,Instantaneous,"V, S"
Cantrip,Cleric,Thaumaturgy,Transmutation,1 Action,30 feet,Up to 1 minute,V
Cantrip,Cleric,Toll the Dead,Necromancy,1 Action,60 feet,Instantaneous,"V, S"
Cantrip,Cleric,Virtue (UA),Abjuration,1 Action,Touch,1 round,"V, S"
Cantrip,Cleric,Word of Radiance,Evocation,1 Action,5 feet,Instantaneous,"V, M"
Cantrip,Druid,Control Flames,Transmutation,1 Action,60 Feet,Instantaneous or 1 hour,S
Cantrip,Druid,Create Bonfire,Conjuration,1 Action,60 Feet,Concentration up to 1 minute,"V, S"
Cantrip,Druid,Druidcraft,Transmutation,1 Action,30 Feet,Instantaneous,"V, S"
Cantrip,Druid,Frostbite,Evocation,1 Action,60 Feet,Instantaneous,"V, S"
Cantrip,Druid,Guidance,Divination,1 Action,Touch,Concentration up to 1 minute,"V, S"
Cantrip,Druid,Gust,Transmutation,1 Action,30 Feet,Instantaneous,"V, S"
Cantrip,Druid,Infestation,Conjuration,1 Action,30 Feet,Instantaneous,"V, S, M"
Cantrip,Druid,Magic Stone,Transmutation,1 Bonus Action,Touch,1 minute,"V, S"
Cantrip,Druid,Mending,Transmutation,1 Minute,Touch,Instantaneous,"V, S, M"
Cantrip,Druid,Mold Earth,Transmutation,1 Action,30 feet,Instantaneous or 1 hour,S
Cantrip,Druid,Poison Spray,Conjuration,1 Action,10 feet,Instantaneous,"V, S"
Cantrip,Druid,Primal Savagery,Transmutation,1 Action,Self,Self,S
Cantrip,Druid,Produce Flame,Conjuration,1 Action,Self,10 minutes,"V, S"
Cantrip,Druid,Resistance,Abjuration,1 Action,Touch,Concentration up to 1 minute,"V, S, M"
Cantrip,Druid,Shape Water,Transmutation,1 Action,30 feet,Instantaneous or 1 hour,S
Cantrip,Druid,Shillelagh,Transmutation,1 Bonus Action,Touch,1 minute,"V, S, M"
Cantrip,Druid,Thorn Whip,Transmutation,1 Action,30 feet,Instantaneous,"V, S, M"
Cantrip,Druid,Thunderclap,Evocation,1 Action,Self (5-foot radius),Instantaneous,S
Cantrip,Sorcerer,Acid Splash,Conjuration,1 Action,60 Feet,Instantaneous,"V, S"
Cantrip,Sorcerer,Blade Ward,Abjuration,1 Action,Self,1 round,"V, S"
Cantrip,Sorcerer,Booming Blade,Evocation,1 Action,Self (5-foot radius),1 round,"S, M"
Cantrip,Sorcerer,Chill Touch,Necromancy,1 Action,120 Feet,1 round,"V, S"
Cantrip,Sorcerer,Control Flames,Transmutation,1 Action,60 Feet,Instantaneous or 1 hour,S
Cantrip,Sorcerer,Create Bonfire,Conjuration,1 Action,60 Feet,Concentration up to 1 minute,"V, S"
Cantrip,Sorcerer,Dancing Lights,Evocation,1 Action,120 Feet,Concentration up to 1 minute,"V, S, M"
Cantrip,Sorcerer,Fire Bolt,Evocation,1 Action,120 Feet,Instantaneous,"V, S"
Cantrip,Sorcerer,Friends,Enchantment,1 Action,Self,Concentration up to 1 minute,"S, M"
Cantrip,Sorcerer,Frostbite,Evocation,1 Action,60 Feet,Instantaneous,"V, S"
Cantrip,Sorcerer,Green-Flame Blade,Evocation,1 Action,Self (5-foot radius),Instantaneous,"S, M"
Cantrip,Sorcerer,Gust,Transmutation,1 Action,30 Feet,Instantaneous,"V, S"
Cantrip,Sorcerer,Infestation,Conjuration,1 Action,30 Feet,Instantaneous,"V, S, M"
Cantrip,Sorcerer,Light,Evocation,1 Action,Touch,1 hour,"V, M"
Cantrip,Sorcerer,Lightning Lure,Evocation,1 Action,Self (15-foot radius),Instantaneous,V
Cantrip,Sorcerer,Mage Hand,Conjuration,1 Action,30 Feet,1 minute,"V, S"
Cantrip,Sorcerer,Mending,Transmutation,1 Minute,Touch,Instantaneous,"V, S, M"
Cantrip,Sorcerer,Message,Transmutation,1 Action,120 feet,1 round,"V, S, M"
Cantrip,Sorcerer,Mind Sliver,Enchantment,1 Action,60 feet,1 round,V
Cantrip,Sorcerer,Minor Illusion,Illusion,1 Action,30 feet,1 minute,"S, M"
Cantrip,Sorcerer,Mold Earth,Transmutation,1 Action,30 feet,Instantaneous or 1 hour,S
Cantrip,Sorcerer,On/Off,Transmutation T,1 Action,60 feet,Instantaneous,"V, S"
Cantrip,Sorcerer,Poison Spray,Conjuration,1 Action,10 feet,Instantaneous,"V, S"
Cantrip,Sorcerer,Prestidigitation,Transmutation,1 Action,10 feet,Up to 1 hour,"V, S"
Cantrip,Sorcerer,Ray of Frost,Evocation,1 Action,60 feet,Instantaneous,"V, S"
Cantrip,Sorcerer,Shape Water,Transmutation,1 Action,30 feet,Instantaneous or 1 hour,S
Cantrip,Sorcerer,Shocking Grasp,Evocation,1 Action,Touch,Instantaneous,"V, S"
Cantrip,Sorcerer,Sword Burst,Conjuration,1 Action,Self (5-foot radius),Instantaneous,V
Cantrip,Sorcerer,Thunderclap,Evocation,1 Action,Self (5-foot radius),Instantaneous,S
Cantrip,Sorcerer,True Strike,Divination,1 Action,30 feet,Concentration up to 1 round,S
Cantrip,Warlock,Blade Ward,Abjuration,1 Action,Self,1 round,"V, S"
Cantrip,Warlock,Booming Blade,Evocation,1 Action,Self (5-foot radius),1 round,"S, M"
Cantrip,Warlock,Chill Touch,Necromancy,1 Action,120 Feet,1 round,"V, S"
Cantrip,Warlock,Create Bonfire,Conjuration,1 Action,60 Feet,Concentration up to 1 minute,"V, S"
Cantrip,Warlock,Eldritch Blast,Evocation,1 Action,120 Feet,Instantaneous,"V, S"
Cantrip,Warlock,Friends,Enchantment,1 Action,Self,Concentration up to 1 minute,"S, M"
Cantrip,Warlock,Frostbite,Evocation,1 Action,60 Feet,Instantaneous,"V, S"
Cantrip,Warlock,Green-Flame Blade,Evocation,1 Action,Self (5-foot radius),Instantaneous,"S, M"
Cantrip,Warlock,Infestation,Conjuration,1 Action,30 Feet,Instantaneous,"V, S, M"
Cantrip,Warlock,Lightning Lure,Evocation,1 Action,Self (15-foot radius),Instantaneous,V
Cantrip,Warlock,Mage Hand,Conjuration,1 Action,30 Feet,1 minute,"V, S"
Cantrip,Warlock,Magic Stone,Transmutation,1 Bonus Action,Touch,1 minute,"V, S"
Cantrip,Warlock,Mind Sliver,Enchantment,1 Action,60 feet,1 round,V
Cantrip,Warlock,Minor Illusion,Illusion,1 Action,30 feet,1 minute,"S, M"
Cantrip,Warlock,On/Off,Transmutation T,1 Action,60 feet,Instantaneous,"V, S"
Cantrip,Warlock,Poison Spray,Conjuration,1 Action,10 feet,Instantaneous,"V, S"
Cantrip,Warlock,Prestidigitation,Transmutation,1 Action,10 feet,Up to 1 hour,"V, S"
Cantrip,Warlock,Sword Burst,Conjuration,1 Action,Self (5-foot radius),Instantaneous,V
Cantrip,Warlock,Thunderclap,Evocation,1 Action,Self (5-foot radius),Instantaneous,S
Cantrip,Warlock,Toll the Dead,Necromancy,1 Action,60 feet,Instantaneous,"V, S"
Cantrip,Warlock,True Strike,Divination,1 Action,30 feet,Concentration up to 1 round,S
Cantrip,Wizard,Acid Splash,Conjuration,1 Action,60 Feet,Instantaneous,"V, S"
Cantrip,Wizard,Blade Ward,Abjuration,1 Action,Self,1 round,"V, S"
Cantrip,Wizard,Booming Blade,Evocation,1 Action,Self (5-foot radius),1 round,"S, M"
Cantrip,Wizard,Chill Touch,Necromancy,1 Action,120 Feet,1 round,"V, S"
Cantrip,Wizard,Control Flames,Transmutation,1 Action,60 Feet,Instantaneous or 1 hour,S
Cantrip,Wizard,Create Bonfire,Conjuration,1 Action,60 Feet,Concentration up to 1 minute,"V, S"
Cantrip,Wizard,Dancing Lights,Evocation,1 Action,120 Feet,Concentration up to 1 minute,"V, S, M"
Cantrip,Wizard,Encode Thoughts,Enchantment,1 Action,Self,8 hours,S
Cantrip,Wizard,Fire Bolt,Evocation,1 Action,120 Feet,Instantaneous,"V, S"
Cantrip,Wizard,Friends,Enchantment,1 Action,Self,Concentration up to 1 minute,"S, M"
Cantrip,Wizard,Frostbite,Evocation,1 Action,60 Feet,Instantaneous,"V, S"
Cantrip,Wizard,Green-Flame Blade,Evocation,1 Action,Self (5-foot radius),Instantaneous,"S, M"
Cantrip,Wizard,Gust,Transmutation,1 Action,30 Feet,Instantaneous,"V, S"
Cantrip,Wizard,Infestation,Conjuration,1 Action,30 Feet,Instantaneous,"V, S, M"
Cantrip,Wizard,Light,Evocation,1 Action,Touch,1 hour,"V, M"
Cantrip,Wizard,Lightning Lure,Evocation,1 Action,Self (15-foot radius),Instantaneous,V
Cantrip,Wizard,Mage Hand,Conjuration,1 Action,30 Feet,1 minute,"V, S"
Cantrip,Wizard,Mending,Transmutation,1 Minute,Touch,Instantaneous,"V, S, M"
Cantrip,Wizard,Message,Transmutation,1 Action,120 feet,1 round,"V, S, M"
Cantrip,Wizard,Mind Sliver,Enchantment,1 Action,60 feet,1 round,V
Cantrip,Wizard,Minor Illusion,Illusion,1 Action,30 feet,1 minute,"S, M"
Cantrip,Wizard,Mold Earth,Transmutation,1 Action,30 feet,Instantaneous or 1 hour,S
Cantrip,Wizard,On/Off,Transmutation T,1 Action,60 feet,Instantaneous,"V, S"
Cantrip,Wizard,Poison Spray,Conjuration,1 Action,10 feet,Instantaneous,"V, S"
Cantrip,Wizard,Prestidigitation,Transmutation,1 Action,10 feet,Up to 1 hour,"V, S"
Cantrip,Wizard,Ray of Frost,Evocation,1 Action,60 feet,Instantaneous,"V, S"
Cantrip,Wizard,Sapping Sting,Necromancy D,1 Action,30 feet,Instantaneous,"V, S"
Cantrip,Wizard,Shape Water,Transmutation,1 Action,30 feet,Instantaneous or 1 hour,S
Cantrip,Wizard,Shocking Grasp,Evocation,1 Action,Touch,Instantaneous,"V, S"
Cantrip,Wizard,Sword Burst,Conjuration,1 Action,Self (5-foot radius),Instantaneous,V
Cantrip,Wizard,Thunderclap,Evocation,1 Action,Self (5-foot radius),Instantaneous,S
Cantrip,Wizard,Toll the Dead,Necromancy,1 Action,60 feet,Instantaneous,"V, S"
Cantrip,Wizard,True Strike,Divination,1 Action,30 feet,Concentration up to 1 round,S
1st Level,Artificer,Absorb Elements,Abjuration,1 Reaction,Self,1 round,S
1st Level,Artificer,Alarm,Abjuration,1 Action R,30 feet,8 Hours,"V, S, M"
1st Level,Artificer,Arcane Weapon (UA),Transmutation,1 Bonus Action,Self,"Concentration, up to 1 hour","V, S"
1st Level,Artificer,Catapult,Transmutation,1 Action,60 feet,Instantaneous,S
1st Level,Artificer,Cure Wounds,Evocation,1 Action,Touch,Instantaneous,"V, S"
1st Level,Artificer,Detect Magic,Divination,1 Action R,Self,"Concentration, up to 10 minutes","V, S"
1st Level,Artificer,Disguise Self,Illusion,1 Action,Self,1 hour,"V, S"
1st Level,Artificer,Expeditious Retreat,Transmutation,1 Bonus Action,Self,"Concentration, up to 10 minutes","V, S"
1st Level,Artificer,Faerie Fire,Evocation,1 Action,60 feet,"Concentration, up to 1 minute",V
1st Level,Artificer,False Life,Necromancy,1 Action,Self,1 hour,"V, S, M"
1st Level,Artificer,Feather Fall,Transmutation,1 Reaction,60 feet,1 minute,"V, M"
1st Level,Artificer,Grease,Conjuration,1 Action,60 feet,1 minute,"V, S, M"
1st Level,Artificer,Identify,Divination,1 Minute R,Touch,Instantaneous,"V, S, M"
1st Level,Artificer,Jump,Transmutation,1 Action,Touch,1 minute,"V, S, M"
1st Level,Artificer,Longstrider,Transmutation,1 Action,Touch,1 hour,"V, S, M"
1st Level,Artificer,Purify Food and Drink,Transmutation,1 Action R,10 feet,Instantaneous,"V, S"
1st Level,Artificer,Sanctuary,Abjuration,1 Bonus Action,30 feet,1 minute,"V, S, M"
1st Level,Artificer,Snare,Abjuration,1 Minute,Touch,Until dispelled or triggered,"V, S, M"
1st Level,Artificer,Tasha's Caustic Brew,Evocation,1 Action,Self (30-foot line),"Concentration, up to 1 minute","V, S, M"
1st Level,Bard,Animal Friendship,Enchantment,1 Action,30 feet,24 hours,"V, S, M"
1st Level,Bard,Bane,Enchantment,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
1st Level,Bard,Charm Person,Enchantment,1 Action,30 feet,1 Hour,"V, S"
1st Level,Bard,Color Spray,Illusion,1 Action,Self (15-foot cone),1 round,"V, S, M"
1st Level,Bard,Command,Enchantment,1 Action,60 feet,1 round,V
1st Level,Bard,Comprehend Languages,Divination,1 Action R,Self,1 hour,"V, S, M"
1st Level,Bard,Cure Wounds,Evocation,1 Action,Touch,Instantaneous,"V, S"
1st Level,Bard,Detect Magic,Divination,1 Action R,Self,"Concentration, up to 10 minutes","V, S"
1st Level,Bard,Disguise Self,Illusion,1 Action,Self,1 hour,"V, S"
1st Level,Bard,Dissonant Whispers,Enchantment,1 Action,60 feet,Instantaneous,V
1st Level,Bard,Distort Value,Illusion,1 Minute,Touch,8 hours,V
1st Level,Bard,Earth Tremor,Evocation,1 Action,Self (10-foot radius),Instantaneous,"V, S"
1st Level,Bard,Faerie Fire,Evocation,1 Action,60 feet,"Concentration, up to 1 minute",V
1st Level,Bard,Feather Fall,Transmutation,1 Reaction,60 feet,1 minute,"V, M"
1st Level,Bard,Guiding Hand (UA),Divination,1 Minute R,5 feet,"Concentration, up to 8 hours","V, S"
1st Level,Bard,Healing Word,Evocation,1 Bonus Action,60 feet,Instantaneous,V
1st Level,Bard,Heroism,Enchantment,1 Action,Touch,"Concentration, up to 1 minute","V, S"
1st Level,Bard,Identify,Divination,1 Minute R,Touch,Instantaneous,"V, S, M"
1st Level,Bard,Illusory Script,Illusion,1 Minute,Touch,10 days,"S, M"
1st Level,Bard,Longstrider,Transmutation,1 Action,Touch,1 hour,"V, S, M"
1st Level,Bard,Puppet (UA),Enchantment,1 Action,120 feet,Instantaneous,V
1st Level,Bard,Sense Emotion (UA),Divination,1 Action,Self,"Concentration, up to 1 minute","V, S"
1st Level,Bard,Silent Image,Illusion,1 Action,60 feet,"Concentration, up to 10 minutes","V, S, M"
1st Level,Bard,Sleep,Enchantment,1 Action,90 feet,1 minute,"V, S, M"
1st Level,Bard,Speak with Animals,Divination,1 Action R,Self,10 minutes,"V, S"
1st Level,Bard,Sudden Awakening (UA),Enchantment,1 Bonus Action,10 feet,Instantaneous,V
1st Level,Bard,Tasha's Hideous Laughter,Enchantment,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
1st Level,Bard,Thunderwave,Evocation,1 Action,Self (15-foot cube),Instantaneous,"V, S"
1st Level,Bard,Unearthly Chorus (UA),Illusion,1 Action,Self (30-foot radius),"Concentration, up to 10 minutes",V
1st Level,Bard,Unseen Servant,Conjuration,1 Action R,60 feet,1 hour,"V, S, M"
1st Level,Cleric,Bane,Enchantment,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
1st Level,Cleric,Bless,Enchantment,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
1st Level,Cleric,Ceremony,Evocation,1 Action R,Touch,Instantaneous,"V, S, M"
1st Level,Cleric,Command,Enchantment,1 Action,60 feet,1 round,V
1st Level,Cleric,Create or Destroy Water,Transmutation,1 Action,30 feet,Instantaneous,"V, S, M"
1st Level,Cleric,Cure Wounds,Evocation,1 Action,Touch,Instantaneous,"V, S"
1st Level,Cleric,Detect Evil and Good,Divination,1 Action,Self,"Concentration, up to 10 minutes","V, S"
1st Level,Cleric,Detect Magic,Divination,1 Action R,Self,"Concentration, up to 10 minutes","V, S"
1st Level,Cleric,Detect Poison and Disease,Divination,1 Action,Self,"Concentration, up to 10 minutes","V, S, M"
1st Level,Cleric,Guiding Bolt,Evocation,1 Action,120 feet,1 round,"V, S"
1st Level,Cleric,Guiding Hand (UA),Divination,1 Minute R,5 feet,"Concentration, up to 8 hours","V, S"
1st Level,Cleric,Healing Word,Evocation,1 Bonus Action,60 feet,Instantaneous,V
1st Level,Cleric,Inflict Wounds,Necromancy,1 Action,Touch,Instantaneous,"V, S"
1st Level,Cleric,Protection from Evil and Good,Abjuration,1 Action,Touch,"Concentration, up to 10 minutes","V, S, M"
1st Level,Cleric,Purify Food and Drink,Transmutation,1 Action R,10 feet,Instantaneous,"V, S"
1st Level,Cleric,Sanctuary,Abjuration,1 Bonus Action,30 feet,1 minute,"V, S, M"
1st Level,Cleric,Shield of Faith,Abjuration,1 Bonus Action,60 feet,"Concentration, up to 1 minute","V, S, M"
1st Level,Druid,Absorb Elements,Abjuration,1 Reaction,Self,1 round,S
1st Level,Druid,Animal Friendship,Enchantment,1 Action,30 feet,24 hours,"V, S, M"
1st Level,Druid,Beast Bond,Divination,1 Action,Touch,"Concentration, up to 1 minute","V, S, M"
1st Level,Druid,Charm Person,Enchantment,1 Action,30 feet,1 Hour,"V, S"
1st Level,Druid,Create or Destroy Water,Transmutation,1 Action,30 feet,Instantaneous,"V, S, M"
1st Level,Druid,Cure Wounds,Evocation,1 Action,Touch,Instantaneous,"V, S"
1st Level,Druid,Detect Magic,Divination,1 Action R,Self,"Concentration, up to 10 minutes","V, S"
1st Level,Druid,Detect Poison and Disease,Divination,1 Action,Self,"Concentration, up to 10 minutes","V, S, M"
1st Level,Druid,Earth Tremor,Evocation,1 Action,Self (10-foot radius),Instantaneous,"V, S"
1st Level,Druid,Entangle,Conjuration,1 Action,90 feet,"Concentration, up to 1 minute","V, S"
1st Level,Druid,Faerie Fire,Evocation,1 Action,60 feet,"Concentration, up to 1 minute",V
1st Level,Druid,Fog Cloud,Conjuration,1 Action,120 feet,"Concentration, up to 1 hour","V, S"
1st Level,Druid,Goodberry,Transmutation,1 Action,Touch,Instantaneous,"V, S, M"
1st Level,Druid,Guiding Hand (UA),Divination,1 Minute R,5 feet,"Concentration, up to 8 hours","V, S"
1st Level,Druid,Healing Word,Evocation,1 Bonus Action,60 feet,Instantaneous,V
1st Level,Druid,Ice Knife,Conjuration,1 Action,60 feet,Instantaneous,"S, M"
1st Level,Druid,Jump,Transmutation,1 Action,Touch,1 minute,"V, S, M"
1st Level,Druid,Longstrider,Transmutation,1 Action,Touch,1 hour,"V, S, M"
1st Level,Druid,Protection from Evil and Good,Abjuration,1 Action,Touch,"Concentration, up to 10 minutes","V, S, M"
1st Level,Druid,Purify Food and Drink,Transmutation,1 Action R,10 feet,Instantaneous,"V, S"
1st Level,Druid,Snare,Abjuration,1 Minute,Touch,Until dispelled or triggered,"V, S, M"
1st Level,Druid,Speak with Animals,Divination,1 Action R,Self,10 minutes,"V, S"
1st Level,Druid,Thunderwave,Evocation,1 Action,Self (15-foot cube),Instantaneous,"V, S"
1st Level,Druid,Wild Cunning (UA),Transmutation,1 Action R,120 feet,Instantaneous,"V, S"
1st Level,Paladin,Bless,Enchantment,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
1st Level,Paladin,Ceremony,Evocation,1 Action R,Touch,Instantaneous,"V, S, M"
1st Level,Paladin,Command,Enchantment,1 Action,60 feet,1 round,V
1st Level,Paladin,Compelled Duel,Enchantment,1 Bonus Action,30 feet,"Concentration, up to 1 minute",V
1st Level,Paladin,Cure Wounds,Evocation,1 Action,Touch,Instantaneous,"V, S"
1st Level,Paladin,Detect Evil and Good,Divination,1 Action,Self,"Concentration, up to 10 minutes","V, S"
1st Level,Paladin,Detect Magic,Divination,1 Action R,Self,"Concentration, up to 10 minutes","V, S"
1st Level,Paladin,Detect Poison and Disease,Divination,1 Action,Self,"Concentration, up to 10 minutes","V, S, M"
1st Level,Paladin,Divine Favor,Evocation,1 Bonus Action,Self,"Concentration, up to 1 minute","V, S"
1st Level,Paladin,Heroism,Enchantment,1 Action,Touch,"Concentration, up to 1 minute","V, S"
1st Level,Paladin,Protection from Evil and Good,Abjuration,1 Action,Touch,"Concentration, up to 10 minutes","V, S, M"
1st Level,Paladin,Purify Food and Drink,Transmutation,1 Action R,10 feet,Instantaneous,"V, S"
1st Level,Paladin,Searing Smite,Evocation,1 Bonus Action,Self,"Concentration, up to 1 minute",V
1st Level,Paladin,Shield of Faith,Abjuration,1 Bonus Action,60 feet,"Concentration, up to 1 minute","V, S, M"
1st Level,Paladin,Thunderous Smite,Evocation,1 Bonus Action,Self,"Concentration, up to 1 minute",V
1st Level,Paladin,Wrathful Smite,Evocation,1 Bonus Action,Self,"Concentration, up to 1 minute",V
1st Level,Ranger,Absorb Elements,Abjuration,1 Reaction,Self,1 round,S
1st Level,Ranger,Alarm,Abjuration,1 Action R,30 feet,8 Hours,"V, S, M"
1st Level,Ranger,Animal Friendship,Enchantment,1 Action,30 feet,24 hours,"V, S, M"
1st Level,Ranger,Beast Bond,Divination,1 Action,Touch,"Concentration, up to 1 minute","V, S, M"
1st Level,Ranger,Cure Wounds,Evocation,1 Action,Touch,Instantaneous,"V, S"
1st Level,Ranger,Detect Magic,Divination,1 Action R,Self,"Concentration, up to 10 minutes","V, S"
1st Level,Ranger,Detect Poison and Disease,Divination,1 Action,Self,"Concentration, up to 10 minutes","V, S, M"
1st Level,Ranger,Ensnaring Strike,Conjuration,1 Bonus Action,Self,"Concentration, up to 1 minute",V
1st Level,Ranger,Entangle,Conjuration,1 Action,90 feet,"Concentration, up to 1 minute","V, S"
1st Level,Ranger,Fog Cloud,Conjuration,1 Action,120 feet,"Concentration, up to 1 hour","V, S"
1st Level,Ranger,Goodberry,Transmutation,1 Action,Touch,Instantaneous,"V, S, M"
1st Level,Ranger,Hail of Thorns,Conjuration,1 Bonus Action,Self,"Concentration, up to 1 minute",V
1st Level,Ranger,Hunter's Mark,Divination,1 Bonus Action,90 feet,"Concentration, up to 1 hour",V
1st Level,Ranger,Jump,Transmutation,1 Action,Touch,1 minute,"V, S, M"
1st Level,Ranger,Longstrider,Transmutation,1 Action,Touch,1 hour,"V, S, M"
1st Level,Ranger,Searing Smite,Evocation,1 Bonus Action,Self,"Concentration, up to 1 minute",V
1st Level,Ranger,Snare,Abjuration,1 Minute,Touch,Until dispelled or triggered,"V, S, M"
1st Level,Ranger,Speak with Animals,Divination,1 Action R,Self,10 minutes,"V, S"
1st Level,Ranger,Sudden Awakening (UA),Enchantment,1 Bonus Action,10 feet,Instantaneous,V
1st Level,Ranger,Wild Cunning (UA),Transmutation,1 Action R,120 feet,Instantaneous,"V, S"
1st Level,Ranger,Zephyr Strike,Transmutation,1 Bonus Action,Self,"Concentration, up to 1 minute",V
1st Level,Sorcerer,Absorb Elements,Abjuration,1 Reaction,Self,1 round,S
1st Level,Sorcerer,Acid Stream (UA),Evocation,1 Action,Self (30-foot line),"Concentration, up to 1 minute","V, S, M"
1st Level,Sorcerer,Burning Hands,Evocation,1 Action,Self (15-foot cone),Instantaneous,"V, S"
1st Level,Sorcerer,Catapult,Transmutation,1 Action,60 feet,Instantaneous,S
1st Level,Sorcerer,Chaos Bolt,Evocation,1 Action,120 feet,Instantaneous,"V, S"
1st Level,Sorcerer,Charm Person,Enchantment,1 Action,30 feet,1 Hour,"V, S"
1st Level,Sorcerer,Chromatic Orb,Evocation,1 Action,90 feet,Instantaneous,"V, S, M"
1st Level,Sorcerer,Color Spray,Illusion,1 Action,Self (15-foot cone),1 round,"V, S, M"
1st Level,Sorcerer,Comprehend Languages,Divination,1 Action R,Self,1 hour,"V, S, M"
1st Level,Sorcerer,Detect Magic,Divination,1 Action R,Self,"Concentration, up to 10 minutes","V, S"
1st Level,Sorcerer,Disguise Self,Illusion,1 Action,Self,1 hour,"V, S"
1st Level,Sorcerer,Distort Value,Illusion,1 Minute,Touch,8 hours,V
1st Level,Sorcerer,Earth Tremor,Evocation,1 Action,Self (10-foot radius),Instantaneous,"V, S"
1st Level,Sorcerer,Expeditious Retreat,Transmutation,1 Bonus Action,Self,"Concentration, up to 10 minutes","V, S"
1st Level,Sorcerer,False Life,Necromancy,1 Action,Self,1 hour,"V, S, M"
1st Level,Sorcerer,Feather Fall,Transmutation,1 Reaction,60 feet,1 minute,"V, M"
1st Level,Sorcerer,Fog Cloud,Conjuration,1 Action,120 feet,"Concentration, up to 1 hour","V, S"
