Background,Item,Description,Source
Criminal,Flaw,I turn tail and run when things look bad.,Player's Handbook
Criminal,Flaw,An innocent person is in prison for a crime that I committed. I'm okay with that.,Player's Handbook
Entertainer,Routine,Actor,Player's Handbook
Entertainer,Routine,Dancer,Player's Handbook
Entertainer,Routine,Fire-eater,Player's Handbook
Entertainer,Routine,Jester,Player's Handbook
Entertainer,Routine,Juggler,Player's Handbook
Entertainer,Routine,Instrumentalist,Player's Handbook
Entertainer,Routine,Poet,Player's Handbook
Entertainer,Routine,Singer,Player's Handbook
Entertainer,Routine,Storyteller,Player's Handbook
Entertainer,Routine,Tumbler,Player's Handbook
Entertainer,Trait,I know a story relevant to almost every situation.,Player's Handbook
Entertainer,Trait,"Whenever I come to a new place, I collect local rumors and spread gossip.",Player's Handbook
Entertainer,Trait,"I'm a hopeless romantic, always searching for that ""special someone"".",Player's Handbook
Entertainer,Trait,"Nobody stays angry at me or around me for long, since I can defuse any amount of tension.",Player's Handbook
Entertainer,Trait,"I love a good insult, even one directed at me.",Player's Handbook
Entertainer,Trait,I get bitter if I'm not the center of attention.,Player's Handbook
Entertainer,Trait,I'll settle for nothing less than perfection.,Player's Handbook
Entertainer,Trait,I change my mood or my mind as quickly as I change key in a song.,Player's Handbook
Entertainer,Ideal,"Beauty. When I perform, I make the world better than it was. (Good)",Player's Handbook
Entertainer,Ideal,"Tradition. The stories, legends, and songs of the past must never be forgotten, for they teach us who we are. (Lawful)",Player's Handbook
Entertainer,Ideal,Creativity. The world is in need of new ideas and bold action. (Chaotic),Player's Handbook
Entertainer,Ideal,Greed. I'm only in it for the money and fame. (Evil),Player's Handbook
Entertainer,Ideal,People. I like seeing the smiles on people's faces when I perform. That's all that matters. (Neutral),Player's Handbook
Entertainer,Ideal,Honesty. Art should reflect the soul; it should come from within and reveal who we really are. (Any),Player's Handbook
Entertainer,Bond,"My instrument is my most treasured possession, and it reminds me of someone I love.",Player's Handbook
Entertainer,Bond,"Someone stole my precious instrument, and someday I'll get it back.",Player's Handbook
Entertainer,Bond,"I want to be famous, whatever it takes.",Player's Handbook
Entertainer,Bond,I idolize a hero of the old tales and measure my deeds against that person's.,Player's Handbook
Entertainer,Bond,I will do anything to prove myself superior to my hated rival.,Player's Handbook
Entertainer,Bond,I would do anything for the other members of my old troupe.,Player's Handbook
Entertainer,Flaw,I'll do anything to win fame and renown.,Player's Handbook
Entertainer,Flaw,I'm a sucker for a pretty face.,Player's Handbook
Entertainer,Flaw,A scandal prevents me from ever going home again. That kind of trouble seems to follow me around.,Player's Handbook
Entertainer,Flaw,I once satirized a noble who still wants my head. It was a mistake that I will likely repeat.,Player's Handbook
Entertainer,Flaw,I have trouble keeping my true feelings hidden. My sharp tongue lands me in trouble.,Player's Handbook
Entertainer,Flaw,"Despite my best efforts, I am unreliable to my friends.",Player's Handbook
Folk Hero,Defining event,I stood up to a tyrant's agents.,Player's Handbook
Folk Hero,Defining event,I saved people during a natural disaster.,Player's Handbook
Folk Hero,Defining event,I stood alone against a terrible monster.,Player's Handbook
Folk Hero,Defining event,I stole from a corrupt merchant to help the poor.,Player's Handbook
Folk Hero,Defining event,I led a militia to fight of an invading army.,Player's Handbook
Folk Hero,Defining event,I broke into a tyrant's castle and stole weapons to arm the people.,Player's Handbook
Folk Hero,Defining event,I trained the peasantry to use farming implements as weapons against a tyrant's soldiers.,Player's Handbook
Folk Hero,Defining event,A lord rescinded an unpopular decree after I led a symbolic act of protest against it.,Player's Handbook
Folk Hero,Defining event,"A celestial, fey, or similar creature gave me a blessing or revealed my secret origin.",Player's Handbook
Folk Hero,Defining event,"Recruited into a lord's army, I rose to leadership and was commended for my heroism.",Player's Handbook
Folk Hero,Trait,"I judge people by their actions, not their words.",Player's Handbook
Folk Hero,Trait,"If someone is in trouble, I'm always ready to lend help.",Player's Handbook
Folk Hero,Trait,"When I set my mind to something, I follow through no matter what gets in my way.",Player's Handbook
Folk Hero,Trait,I have a strong sense of fair play and always try to find the most equitable solution to arguments.,Player's Handbook
Folk Hero,Trait,I'm confident in my own abilities and do what I can to instill confidence in others.,Player's Handbook
Folk Hero,Trait,Thinking is for other people. I prefer action.,Player's Handbook
Folk Hero,Trait,I misuse long words in an attempt to sound smarter.,Player's Handbook
Folk Hero,Trait,I get bored easily. When am I going to get on with my destiny?,Player's Handbook
Folk Hero,Ideal,Respect. People deserve to be treated with dignity and respect. (Good),Player's Handbook
Folk Hero,Ideal,"Fairness. No one should get preferential treatment before the law, and no one is above the law. (Lawful)",Player's Handbook
Folk Hero,Ideal,Freedom. Tyrants must not be allowed to oppress the people. (Chaotic),Player's Handbook
Folk Hero,Ideal,"Might. If I become strong, I can take what I want-what I deserve. (Evil)",Player's Handbook
Folk Hero,Ideal,Sincerity. There's no good in pretending to be something I'm not. (Neutral),Player's Handbook
Folk Hero,Ideal,Destiny. Nothing and no one can steer me away from my higher calling. (Any),Player's Handbook
Folk Hero,Bond,"I have a family, but I have no idea where they are. One day, I hope to see them again.",Player's Handbook
Folk Hero,Bond,"I worked the land, I love the land, and I will protect the land.",Player's Handbook
Folk Hero,Bond,"A proud noble once gave me a horrible beating, and I will take my revenge on any bully I encounter.",Player's Handbook
Folk Hero,Bond,"My tools are symbols of my past life, and I carry them so that I will never forget my roots.",Player's Handbook
Folk Hero,Bond,I protect those who cannot protect themselves.,Player's Handbook
Folk Hero,Bond,I wish my childhood sweetheart had come with me to pursue my destiny.,Player's Handbook
Folk Hero,Flaw,The tyrant who rules my land will stop at nothing to see me killed.,Player's Handbook
Folk Hero,Flaw,"I'm convinced of the significance of my destiny, and blind to my shortcomings and the risk of failure.",Player's Handbook
Folk Hero,Flaw,"The people who knew me when I was young know my shameful secret, so I can never go home again.",Player's Handbook
Folk Hero,Flaw,"I have a weakness for the vices of the city, especially hard drink.",Player's Handbook
Folk Hero,Flaw,"Secretly, I believe that things would be better if I were a tyrant lording over the land.",Player's Handbook
Folk Hero,Flaw,I have trouble trusting in my allies.,Player's Handbook
Gladiator,Routine,Actor,Player's Handbook
Gladiator,Routine,Dancer,Player's Handbook
Gladiator,Routine,Fire-eater,Player's Handbook
Gladiator,Routine,Jester,Player's Handbook
Gladiator,Routine,Juggler,Player's Handbook
Gladiator,Routine,Instrumentalist,Player's Handbook
Gladiator,Routine,Poet,Player's Handbook
Gladiator,Routine,Singer,Player's Handbook
Gladiator,Routine,Storyteller,Player's Handbook
Gladiator,Routine,Tumbler,Player's Handbook
Gladiator,Trait,I know a story relevant to almost every situation.,Player's Handbook
Gladiator,Trait,"Whenever I come to a new place, I collect local rumors and spread gossip.",Player's Handbook
Gladiator,Trait,"I'm a hopeless romantic, always searching for that ""special someone"".",Player's Handbook
Gladiator,Trait,"Nobody stays angry at me or around me for long, since I can defuse any amount of tension.",Player's Handbook
Gladiator,Trait,"I love a good insult, even one directed at me.",Player's Handbook
Gladiator,Trait,I get bitter if I'm not the center of attention.,Player's Handbook
Gladiator,Trait,I'll settle for nothing less than perfection.,Player's Handbook
Gladiator,Trait,I change my mood or my mind as quickly as I change key in a song.,Player's Handbook
Gladiator,Ideal,"Beauty. When I perform, I make the world better than it was. (Good)",Player's Handbook
Gladiator,Ideal,"Tradition. The stories, legends, and songs of the past must never be forgotten, for they teach us who we are. (Lawful)",Player's Handbook
Gladiator,Ideal,Creativity. The world is in need of new ideas and bold action. (Chaotic),Player's Handbook
Gladiator,Ideal,Greed. I'm only in it for the money and fame. (Evil),Player's Handbook
Gladiator,Ideal,People. I like seeing the smiles on people's faces when I perform. That's all that matters. (Neutral),Player's Handbook
Gladiator,Ideal,Honesty. Art should reflect the soul; it should come from within and reveal who we really are. (Any),Player's Handbook
Gladiator,Bond,"My instrument is my most treasured possession, and it reminds me of someone I love.",Player's Handbook
Gladiator,Bond,"Someone stole my precious instrument, and someday I'll get it back.",Player's Handbook
Gladiator,Bond,"I want to be famous, whatever it takes.",Player's Handbook
Gladiator,Bond,I idolize a hero of the old tales and measure my deeds against that person's.,Player's Handbook
Gladiator,Bond,I will do anything to prove myself superior to my hated rival.,Player's Handbook
Gladiator,Bond,I would do anything for the other members of my old troupe.,Player's Handbook
Gladiator,Flaw,I'll do anything to win fame and renown.,Player's Handbook
Gladiator,Flaw,I'm a sucker for a pretty face.,Player's Handbook
Gladiator,Flaw,A scandal prevents me from ever going home again. That kind of trouble seems to follow me around.,Player's Handbook
Gladiator,Flaw,I once satirized a noble who still wants my head. It was a mistake that I will likely repeat.,Player's Handbook
Gladiator,Flaw,I have trouble keeping my true feelings hidden. My sharp tongue lands me in trouble.,Player's Handbook
Gladiator,Flaw,"Despite my best efforts, I am unreliable to my friends.",Player's Handbook
Guild Artisan,Guild business,Alchemists and apothecaries,Player's Handbook
Guild Artisan,Guild business,"Armorers, locksmiths, and finesmiths",Player's Handbook
Guild Artisan,Guild business,"Brewers, distillers, and vintners",Player's Handbook
Guild Artisan,Guild business,"Calligraphers, scribes, and scriveners",Player's Handbook
Guild Artisan,Guild business,"Carpenters, roofers, and plasterers",Player's Handbook
Guild Artisan,Guild business,"Cartographers, surveyors, and chart-makers",Player's Handbook
Guild Artisan,Guild business,Cobblers and shoemakers,Player's Handbook
Guild Artisan,Guild business,Cooks and bakers,Player's Handbook
Guild Artisan,Guild business,Glassblowers and glaziers,Player's Handbook
Guild Artisan,Guild business,Jewelers and gemcutters,Player's Handbook
Guild Artisan,Guild business,"Leatherworkers, skinners, and tanners",Player's Handbook
Guild Artisan,Guild business,Masons and stonecutters,Player's Handbook
Guild Artisan,Guild business,"Painters, limners, and sign-makers",Player's Handbook
Guild Artisan,Guild business,Potters and tile-makers,Player's Handbook
Guild Artisan,Guild business,Shipwrights and sail-makers,Player's Handbook
Guild Artisan,Guild business,Smiths and metal-forgers,Player's Handbook
Guild Artisan,Guild business,"Tinkers, pewterers, and casters",Player's Handbook
Guild Artisan,Guild business,Wagon-makers and wheelwrights,Player's Handbook
Guild Artisan,Guild business,Weavers and dyers,Player's Handbook
Guild Artisan,Guild business,"Woodcarvers, coopers, and bowyers",Player's Handbook
Guild Artisan,Trait,I believe that anything worth doing is worth doing right. I can't help it-I'm a perfectionist.,Player's Handbook
Guild Artisan,Trait,I'm a snob who looks down on those who can't appreciate fine art.,Player's Handbook
Guild Artisan,Trait,I always want to know how things work and what makes people tick.,Player's Handbook
Guild Artisan,Trait,I'm full of witty aphorisms and have a proverb for every occasion.,Player's Handbook
Guild Artisan,Trait,I'm rude to people who lack my commitment to hard work and fair play.,Player's Handbook
Guild Artisan,Trait,I like to talk at length about my profession.,Player's Handbook
Guild Artisan,Trait,I don't part with my money easily and will haggle tirelessly to get the best deal possible.,Player's Handbook
Guild Artisan,Trait,"I'm well known for my work, and I want to make sure everyone appreciates it. I'm always taken aback when people haven't heard of me.",Player's Handbook
Guild Artisan,Ideal,Community. It is the duty of all civilized people to strengthen the bonds of community and the security of civilization. (Lawful),Player's Handbook
Guild Artisan,Ideal,Generosity. My talents were given to me so that I could use them to benefit the world. (Good),Player's Handbook
Guild Artisan,Ideal,Freedom. Everyone should be free to pursue his or her own livelihood. (Chaotic),Player's Handbook
Guild Artisan,Ideal,Greed. I'm only in it for the money. (Evil),Player's Handbook
Guild Artisan,Ideal,"People. I'm committed to the people I care about, not to ideals. (Neutral)",Player's Handbook
Guild Artisan,Ideal,Aspiration. I work hard to be the best there is at my craft. (Any),Player's Handbook
Guild Artisan,Bond,The workshop where I learned my trade is the most important place in the world to me.,Player's Handbook
Guild Artisan,Bond,"I created a great work for someone, and then found them unworthy to receive it. I'm still looking for someone worthy.",Player's Handbook
Guild Artisan,Bond,I owe my guild a great debt for forging me into the person I am today.,Player's Handbook
Guild Artisan,Bond,I pursue wealth to secure someone's love.,Player's Handbook
Guild Artisan,Bond,One day I will return to my guild and prove that I am the greatest artisan of them all.,Player's Handbook
Guild Artisan,Bond,I will get revenge on the evil forces that destroyed my place of business and ruined my livelihood.,Player's Handbook
Guild Artisan,Flaw,I'll do anything to get my hands on something rare or priceless.,Player's Handbook
Guild Artisan,Flaw,I'm quick to assume that someone is trying to cheat me.,Player's Handbook
Guild Artisan,Flaw,No one must ever learn that I once stole money from guild coffers.,Player's Handbook
Guild Artisan,Flaw,I'm never satisfied with what I have-I always want more.,Player's Handbook
Guild Artisan,Flaw,I would kill to acquire a noble title.,Player's Handbook
Guild Artisan,Flaw,"I'm horribly jealous of anyone who can outshine my handiwork. Everywhere I go, I'm surrounded by rivals.",Player's Handbook
Guild Merchant,Guild business,Alchemists and apothecaries,Player's Handbook
Guild Merchant,Guild business,"Armorers, locksmiths, and finesmiths",Player's Handbook
Guild Merchant,Guild business,"Brewers, distillers, and vintners",Player's Handbook
Guild Merchant,Guild business,"Calligraphers, scribes, and scriveners",Player's Handbook
Guild Merchant,Guild business,"Carpenters, roofers, and plasterers",Player's Handbook
Guild Merchant,Guild business,"Cartographers, surveyors, and chart-makers",Player's Handbook
Guild Merchant,Guild business,Cobblers and shoemakers,Player's Handbook
Guild Merchant,Guild business,Cooks and bakers,Player's Handbook
Guild Merchant,Guild business,Glassblowers and glaziers,Player's Handbook
Guild Merchant,Guild business,Jewelers and gemcutters,Player's Handbook
Guild Merchant,Guild business,"Leatherworkers, skinners, and tanners",Player's Handbook
Guild Merchant,Guild business,Masons and stonecutters,Player's Handbook
Guild Merchant,Guild business,"Painters, limners, and sign-makers",Player's Handbook
Guild Merchant,Guild business,Potters and tile-makers,Player's Handbook
Guild Merchant,Guild business,Shipwrights and sail-makers,Player's Handbook
Guild Merchant,Guild business,Smiths and metal-forgers,Player's Handbook
Guild Merchant,Guild business,"Tinkers, pewterers, and casters",Player's Handbook
Guild Merchant,Guild business,Wagon-makers and wheelwrights,Player's Handbook
Guild Merchant,Guild business,Weavers and dyers,Player's Handbook
Guild Merchant,Guild business,"Woodcarvers, coopers, and bowyers",Player's Handbook
Guild Merchant,Trait,I believe that anything worth doing is worth doing right. I can't help it-I'm a perfectionist.,Player's Handbook
Guild Merchant,Trait,I'm a snob who looks down on those who can't appreciate fine art.,Player's Handbook
Guild Merchant,Trait,I always want to know how things work and what makes people tick.,Player's Handbook
Guild Merchant,Trait,I'm full of witty aphorisms and have a proverb for every occasion.,Player's Handbook
Guild Merchant,Trait,I'm rude to people who lack my commitment to hard work and fair play.,Player's Handbook
Guild Merchant,Trait,I like to talk at length about my profession.,Player's Handbook
Guild Merchant,Trait,I don't part with my money easily and will haggle tirelessly to get the best deal possible.,Player's Handbook
Guild Merchant,Trait,"I'm well known for my work, and I want to make sure everyone appreciates it. I'm always taken aback when people haven't heard of me.",Player's Handbook
Guild Merchant,Ideal,Community. It is the duty of all civilized people to strengthen the bonds of community and the security of civilization. (Lawful),Player's Handbook
Guild Merchant,Ideal,Generosity. My talents were given to me so that I could use them to benefit the world. (Good),Player's Handbook
Guild Merchant,Ideal,Freedom. Everyone should be free to pursue his or her own livelihood. (Chaotic),Player's Handbook
Guild Merchant,Ideal,Greed. I'm only in it for the money. (Evil),Player's Handbook
Guild Merchant,Ideal,"People. I'm committed to the people I care about, not to ideals. (Neutral)",Player's Handbook
Guild Merchant,Ideal,Aspiration. I work hard to be the best there is at my craft. (Any),Player's Handbook
Guild Merchant,Bond,The workshop where I learned my trade is the most important place in the world to me.,Player's Handbook
Guild Merchant,Bond,"I created a great work for someone, and then found them unworthy to receive it. I'm still looking for someone worthy.",Player's Handbook
Guild Merchant,Bond,I owe my guild a great debt for forging me into the person I am today.,Player's Handbook
Guild Merchant,Bond,I pursue wealth to secure someone's love.,Player's Handbook
Guild Merchant,Bond,One day I will return to my guild and prove that I am the greatest artisan of them all.,Player's Handbook
Guild Merchant,Bond,I will get revenge on the evil forces that destroyed my place of business and ruined my livelihood.,Player's Handbook
Guild Merchant,Flaw,I'll do anything to get my hands on something rare or priceless.,Player's Handbook
Guild Merchant,Flaw,I'm quick to assume that someone is trying to cheat me.,Player's Handbook
Guild Merchant,Flaw,No one must ever learn that I once stole money from guild coffers.,Player's Handbook
Guild Merchant,Flaw,I'm never satisfied with what I have-I always want more.,Player's Handbook
Guild Merchant,Flaw,I would kill to acquire a noble title.,Player's Handbook
Guild Merchant,Flaw,"I'm horribly jealous of anyone who can outshine my handiwork. Everywhere I go, I'm surrounded by rivals.",Player's Handbook
Hermit,Life of seclusion,I was searching for spiritual enlightenment.,Player's Handbook
Hermit,Life of seclusion,I was partaking of communal living in accordance with the dictates of a religious order.,Player's Handbook
Hermit,Life of seclusion,I was exiled for a crime I didn't commit.,Player's Handbook
Hermit,Life of seclusion,I retreated from society after a life-altering event.,Player's Handbook
Hermit,Life of seclusion,"I needed a quiet place to work on my art, literature, music, or manifesto.",Player's Handbook
Hermit,Life of seclusion,"I needed to commune with nature, far from civilization.",Player's Handbook
Hermit,Life of seclusion,I was the caretaker of an ancient ruin or relic.,Player's Handbook
Hermit,Life of seclusion,"I was a pilgrim in search of a person, place, or relic of spiritual significance.",Player's Handbook
Hermit,Trait,"I've been isolated for so long that I rarely speak, preferring gestures and the occasional grunt.",Player's Handbook
Hermit,Trait,"I am utterly serene, even in the face of disaster.",Player's Handbook
Hermit,Trait,"The leader of my community had something wise to say on every topic, and I am eager to share that wisdom.",Player's Handbook
Hermit,Trait,I feel tremendous empathy for all who suffer.,Player's Handbook
Hermit,Trait,I'm oblivious to etiquette and social expectations.,Player's Handbook
Hermit,Trait,"I connect everything that happens to me to a grand, cosmic plan.",Player's Handbook
Hermit,Trait,"I often get lost in my own thoughts and contemplation, becoming oblivious to my surroundings.",Player's Handbook
Hermit,Trait,I am working on a grand philosophical theory and love sharing my ideas.,Player's Handbook
Hermit,Ideal,"Greater Good. My gifts are meant to be shared with all, not used for my own benefit. (Good)",Player's Handbook
Hermit,Ideal,"Logic. Emotions must not cloud our sense of what is right and true, or our logical thinking. (Lawful)",Player's Handbook
Hermit,Ideal,Free Thinking. Inquiry and curiosity are the pillars of progress. (Chaotic),Player's Handbook
Hermit,Ideal,Power. Solitude and contemplation are paths toward mystical or magical power. (Evil),Player's Handbook
Hermit,Ideal,Live and Let Live. Meddling in the affairs of others only causes trouble. (Neutral),Player's Handbook
Hermit,Ideal,"Self-Knowledge. If you know yourself, there's nothing left to know. (Any)",Player's Handbook
Hermit,Bond,"Nothing is more important than the other members of my hermitage, order, or association.",Player's Handbook
Hermit,Bond,I entered seclusion to hide from the ones who might still be hunting me. I must someday confront them.,Player's Handbook
Hermit,Bond,"I'm still seeking the enlightenment I pursued in my seclusion, and it still eludes me.",Player's Handbook
Hermit,Bond,I entered seclusion because I loved someone I could not have.,Player's Handbook
Hermit,Bond,"Should my discovery come to light, it could bring ruin to the world.",Player's Handbook
Hermit,Bond,My isolation gave me great insight into a great evil that only I can destroy.,Player's Handbook
Hermit,Flaw,"Now that I've returned to the world, I enjoy its delights a little too much.",Player's Handbook
Hermit,Flaw,"I harbor dark, bloodthirsty thoughts that my isolation and meditation failed to quell.",Player's Handbook
Hermit,Flaw,I am dogmatic in my thoughts and philosophy.,Player's Handbook
Hermit,Flaw,I let my need to win arguments overshadow friendships and harmony.,Player's Handbook
Hermit,Flaw,I'd risk too much to uncover a lost bit of knowledge.,Player's Handbook
Hermit,Flaw,I like keeping secrets and won't share them with anyone.,Player's Handbook
Knight,Trait,My eloquent flattery makes everyone I talk to feel like the most wonderful and important person in the world.,Player's Handbook
Knight,Trait,The common folk love me for my kindness and generosity.,Player's Handbook
Knight,Trait,No one could doubt by looking at my regal bearing that I am a cut above the unwashed masses.,Player's Handbook
Knight,Trait,I take great pains to always look my best and follow the latest fashions.,Player's Handbook
Knight,Trait,"I don't like to get my hands dirty, and I won't be caught dead in unsuitable accommodations.",Player's Handbook
Knight,Trait,"Despite my noble birth, I do not place myself above other folk. We all have the same blood.",Player's Handbook
Knight,Trait,"My favor, once lost, is lost forever.",Player's Handbook
Knight,Trait,"If you do me an injury, I will crush you, ruin your name, and salt your fields.",Player's Handbook
Knight,Ideal,"Respect. Respect is due to me because of my position, but all people regardless of station deserve to be treated with dignity. (Good)",Player's Handbook
Knight,Ideal,"Responsibility. It is my duty to respect the authority of those above me, just as those below me must respect mine. (Lawful)",Player's Handbook
